Issue Type,Story ID,Summary,Description,Status,Labels,Acceptance Criteria
Story,MAE-001,Kimi CLI runtime adapter,"As a Kimi Code user, I want Maestro to delegate tasks to the `kimi` CLI so that I can use Kimi K3 as the model.",Done,"kimi-cli,runtime",A `kimi-cli` runtime exists; it spawns the `kimi` CLI with the correct model flag and returns parsed output.
Story,MAE-002,Claude CLI runtime adapter,"As a Claude Code user, I want Maestro to delegate tasks to the `claude` CLI so that I can keep using Claude agents.",Done,"claude-cli,runtime","A `claude-cli` runtime exists; it passes `--model`, `--allowedTools`, and `--mcp-config` as appropriate."
Story,MAE-003,OpenAI SDK runtime adapter,"As a user, I want an API-only runtime so Maestro can run in CI, cloud, or with local OpenAI-compatible endpoints.",Done,"openai-sdk,runtime",The `openai-sdk` runtime implements a full tool loop and honors `allowed_tools`/`blocked_tools`.
Story,MAE-004,Claude SDK runtime adapter,"As a Claude user, I want an in-process SDK runtime that can intercept tool calls.",Done,"claude-sdk,runtime",The `claude-sdk` runtime uses `claude-agent-sdk` and supports `can_use_tool` callbacks.
Story,MAE-005,Kimi ACP runtime adapter,"As a Kimi user, I want the Agent Client Protocol runtime so Maestro can request permissions per tool call.",Done,"kimi-acp,runtime",The `kimi-acp` runtime exists and wires ACP `request_permission` callbacks to tool guards.
Story,MAE-006,User-editable model capability registry,"As a user, I want to add/override models in a YAML registry so Maestro can use new providers without code changes.",Done,"capabilities,registry",`~/.open-maestro/capabilities.yaml` and `.open-maestro/capabilities.yaml` are loaded and override defaults.
Story,MAE-007,Capability-aware task router,"As a user, I want Maestro to match task requirements (reasoning, coding, vision, context) to model capabilities.",Done,"routing,arbitration","The router excludes models that cannot meet hard requirements and scores the rest by fit, cost, and latency."
Story,MAE-008,Cost-aware model arbitration,"As a user, I want Maestro to pick the cheapest capable model for each task.",Done,"arbitration,cost",`--cost-preference low` and inferred cost preference influence the selected model.
Story,MAE-009,Local model preference,"As a user, I want `--prefer-local` to prefer Ollama/vLLM when available.",Done,"local,ollama,arbitration",`--prefer-local` filters candidates to `provider: ollama`/`local` and probes `OLLAMA_HOST` automatically.
Story,MAE-010,Live cost ranking refresh,"As a user, I want Maestro to refresh its static cost ranking periodically with live provider pricing.",Backlog,"arbitration,cost,ops",A scheduled job (default weekly) fetches public price APIs and updates `relative_cost` values.
Story,MAE-011,Latency-aware arbitration with tolerance,"As a user, I want the cheapest model to be skipped if it is more than 20%% slower than the fastest alternative.",Backlog,"arbitration,latency",Measured tokens-per-second from `latency.yaml` is used to enforce a configurable latency tolerance.
Story,MAE-012,Markdown agent definitions with YAML frontmatter,"As an agent author, I want agents defined in Markdown so they are human-readable and version-controllable.",Done,"agents,definitions","Agents load from `.md` files with `id`, `role`, `model`, `tools`, `skills`, and `required_capabilities`."
Story,MAE-013,Tiered agent loading,"As a user, I want project agents to override user agents, which override bundled agents.",Done,"agents,registry",`AgentLoader.load_tiered_dirs` resolves project → user → bundled precedence.
Story,MAE-014,Agent inheritance,"As an agent author, I want agents to extend a base agent so I can avoid duplication.",Done,"agents,definitions","The `extends` field merges scalar fields, tool lists, skills, and capabilities."
Story,MAE-015,User-editable skill registry,"As a user, I want to add skills at the project or user level so agents can use custom instructions.",Done,"skills,registry","Skills load from `./.open-maestro/skills/`, `~/.open-maestro/skills/`, and bundled `skills/`."
Story,MAE-016,Git-based agent and skill sources,"As a team lead, I want Maestro to sync agents/skills from a Git repo so the team shares a single source of truth.",Done,"sources,git",`maestro --add-agent-source`/`--add-skill-source` clones/updates Git repositories into `~/.open-maestro/sources/`.
Story,MAE-017,Pre-register claude-mpm-skills source,"As a user, I want the MIT claude-mpm-skills repo available by default on first run.",Done,"sources,skills,offline",The default `sources.yaml` includes `claude-mpm-skills` and syncs it automatically.
Story,MAE-018,Offline bundled agents and skills,"As a user behind a firewall, I want bundled agents/skills to work without internet.",Done,"offline,bundled",The wheel ships 15 bundled agents and 174 bundled skills; sync warnings are suppressed when offline.
Story,MAE-019,Port additional claude-mpm specialist agents,"As a user, I want Maestro to include the 47+ specialist agents from claude-mpm.",Backlog,"agents,porting","At least 30 additional specialist agents (frontend, backend, security, DevOps, QA) are bundled or sourced."
Story,MAE-020,Project-scoped kuzu-memory initialization,"As a user, I want each project to have its own persistent memory database.",Done,"memory,kuzu,project",`KuzuMemoryClient` binds to `cwd` and calls `kuzu-memory init` if no DB exists.
Story,MAE-021,mcp-vector-search integration,"As a user, I want semantic code search before delegation so agents get relevant code context.",Done,"search,mcp",`--search` recalls results from `mcp-vector-search` and includes them in the orchestration context.
Story,MAE-022,MCP auto-configuration per runtime,"As a user, I want MCP servers to be discovered and passed to the correct runtime.",Done,"mcp,config,runtime","MCP config is loaded from project/user/env/flag; `claude-cli` gets `--mcp-config`, `openai-sdk` spawns stdio tools."
Story,MAE-023,Tool allow/block guardrails,"As a user, I want to restrict which tools an agent can use.",Done,"security,guardrails","`--allowed-tools`, `--block-tools`, agent `blocked_tools`, and SDK tool guards are enforced."
